mes;cuit;tipo;monto
10/2018;30-62629625-0;226144.77;"Comp. Usuario con discapacidad"
10/2018;30-62730398-6;178303.04;"Comp. Usuario con discapacidad"
10/2018;30-62834410-4;20910.70;"Comp. Usuario con discapacidad"
10/2018;30-62944722-5;52974.63;"Comp. Usuario con discapacidad"
10/2018;30-63380097-5;460014.69;"Comp. Usuario con discapacidad"
10/2018;30-64392215-7;1016227.17;"Comp. Usuario con discapacidad"
10/2018;30-64472067-1;318469.66;"Comp. Usuario con discapacidad"
10/2018;30-65108882-4;602951.16;"Comp. Usuario con discapacidad"
10/2018;30-65289644-4;343168.53;"Comp. Usuario con discapacidad"
10/2018;30-65829220-6;5105.20;"Comp. Usuario con discapacidad"
10/2018;30-66419466-6;46734.34;"Comp. Usuario con discapacidad"
10/2018;30-67437645-2;381795.91;"Comp. Usuario con discapacidad"
10/2018;30-67611410-2;524189.82;"Comp. Usuario con discapacidad"
10/2018;30-67871434-4;109028.14;"Comp. Usuario con discapacidad"
10/2018;30-68784108-1;106577.10;"Comp. Usuario con discapacidad"
10/2018;30-68902450-1;236200.94;"Comp. Usuario con discapacidad"
10/2018;30-70721568-9;1662383.02;"Comp. Usuario con discapacidad"
10/2018;30-70742374-5;4160.20;"Comp. Usuario con discapacidad"
10/2018;30-70743664-2;132159.60;"Comp. Usuario con discapacidad"
10/2018;30-70787028-8;21585.24;"Comp. Usuario con discapacidad"
10/2018;30-70939332-0;52280.54;"Comp. Usuario con discapacidad"
10/2018;33-54641970-9;89039.10;"Comp. Usuario con discapacidad"
10/2018;33-54662883-9;327333.17;"Comp. Usuario con discapacidad"
10/2018;33-56802704-9;32021.58;"Comp. Usuario con discapacidad"
10/2018;33-60077099-9;245981.75;"Comp. Usuario con discapacidad"
10/2018;33-60274919-9;275075.98;"Comp. Usuario con discapacidad"
10/2018;33-64571375-9;79612.94;"Comp. Usuario con discapacidad"
10/2018;33-65973590-9;13190.98;"Comp. Usuario con discapacidad"
10/2018;33-70818048-9;43014.06;"Comp. Usuario con discapacidad"
09/2018;23-13418186-9;69960.02;"Comp. Usuario con discapacidad"
09/2018;30-53313348-3;264032.69;"Comp. Usuario con discapacidad"
09/2018;30-54408966-4;38056.52;"Comp. Usuario con discapacidad"
09/2018;30-54578922-8;163957.56;"Comp. Usuario con discapacidad"
09/2018;30-54622131-4;820935.09;"Comp. Usuario con discapacidad"
09/2018;30-54622179-9;4355.78;"Comp. Usuario con discapacidad"
09/2018;30-54622766-5;1147065.35;"Comp. Usuario con discapacidad"
09/2018;30-54623424-6;173425.14;"Comp. Usuario con discapacidad"
09/2018;30-54624380-6;526877.44;"Comp. Usuario con discapacidad"
09/2018;30-54624762-3;687538.12;"Comp. Usuario con discapacidad"
09/2018;30-54625314-3;390261.95;"Comp. Usuario con discapacidad"
09/2018;30-54625840-4;516557.80;"Comp. Usuario con discapacidad"
09/2018;30-54626164-2;13893.48;"Comp. Usuario con discapacidad"
09/2018;30-54626201-0;110029.43;"Comp. Usuario con discapacidad"
09/2018;30-54633302-3;698895.44;"Comp. Usuario con discapacidad"
09/2018;30-54633760-6;237892.11;"Comp. Usuario con discapacidad"
09/2018;30-54633944-7;593320.78;"Comp. Usuario con discapacidad"
09/2018;30-54634367-3;122341.94;"Comp. Usuario con discapacidad"
09/2018;30-54635841-7;902.74;"Comp. Usuario con discapacidad"
09/2018;30-54637090-5;128318.76;"Comp. Usuario con discapacidad"
09/2018;30-54639386-7;390348.57;"Comp. Usuario con discapacidad"
09/2018;30-54640151-7;225442.31;"Comp. Usuario con discapacidad"
09/2018;30-54641680-8;288321.83;"Comp. Usuario con discapacidad"
09/2018;30-54657368-7;18784.31;"Comp. Usuario con discapacidad"
09/2018;30-54662272-6;204353.42;"Comp. Usuario con discapacidad"
09/2018;30-55076210-9;243186.58;"Comp. Usuario con discapacidad"
09/2018;30-56178540-2;667430.34;"Comp. Usuario con discapacidad"
09/2018;30-56238208-5;239054.71;"Comp. Usuario con discapacidad"
09/2018;30-56354526-3;43300.89;"Comp. Usuario con discapacidad"
09/2018;30-56394131-2;2506.70;"Comp. Usuario con discapacidad"
09/2018;30-56468014-8;237854.40;"Comp. Usuario con discapacidad"
09/2018;30-56610811-5;10941.31;"Comp. Usuario con discapacidad"
09/2018;30-56932483-8;302737.39;"Comp. Usuario con discapacidad"
09/2018;30-57733887-2;1173218.90;"Comp. Usuario con discapacidad"
09/2018;30-58121405-3;540688.43;"Comp. Usuario con discapacidad"
09/2018;30-59033015-5;26860.65;"Comp. Usuario con discapacidad"
09/2018;30-60597072-5;395015.48;"Comp. Usuario con discapacidad"
09/2018;30-61035814-0;24395.20;"Comp. Usuario con discapacidad"
09/2018;30-61133884-4;3162050.13;"Comp. Usuario con discapacidad"
09/2018;30-61322839-6;312658.10;"Comp. Usuario con discapacidad"
09/2018;30-61580178-6;28786.34;"Comp. Usuario con discapacidad"
09/2018;30-62629625-0;193557.66;"Comp. Usuario con discapacidad"
09/2018;30-62730398-6;213458.02;"Comp. Usuario con discapacidad"
09/2018;30-62834410-4;23785.32;"Comp. Usuario con discapacidad"
09/2018;30-62944722-5;51139.18;"Comp. Usuario con discapacidad"
09/2018;30-63380097-5;271233.40;"Comp. Usuario con discapacidad"
09/2018;30-64392215-7;986855.46;"Comp. Usuario con discapacidad"
09/2018;30-64472067-1;324945.27;"Comp. Usuario con discapacidad"
09/2018;30-65108882-4;610360.89;"Comp. Usuario con discapacidad"
09/2018;30-65289644-4;345523.27;"Comp. Usuario con discapacidad"
09/2018;30-65829220-6;6655.06;"Comp. Usuario con discapacidad"
09/2018;30-66419466-6;57639.85;"Comp. Usuario con discapacidad"
09/2018;30-67437645-2;382628.14;"Comp. Usuario con discapacidad"
09/2018;30-67611410-2;517562.48;"Comp. Usuario con discapacidad"
09/2018;30-68784108-1;112705.83;"Comp. Usuario con discapacidad"
09/2018;30-68902450-1;215043.71;"Comp. Usuario con discapacidad"
09/2018;30-70721568-9;1742924.06;"Comp. Usuario con discapacidad"
09/2018;30-70742374-5;9956.07;"Comp. Usuario con discapacidad"
09/2018;30-70743664-2;22925.60;"Comp. Usuario con discapacidad"
09/2018;30-70787028-8;20491.97;"Comp. Usuario con discapacidad"
09/2018;30-70939332-0;42834.20;"Comp. Usuario con discapacidad"
09/2018;30-71124418-9;29703.22;"Comp. Usuario con discapacidad"
09/2018;33-54641970-9;88676.56;"Comp. Usuario con discapacidad"
09/2018;33-54662883-9;320987.83;"Comp. Usuario con discapacidad"
09/2018;33-56802704-9;30697.89;"Comp. Usuario con discapacidad"
09/2018;33-60077099-9;216312.38;"Comp. Usuario con discapacidad"
09/2018;33-60274919-9;276610.36;"Comp. Usuario con discapacidad"
09/2018;33-64571375-9;38081.26;"Comp. Usuario con discapacidad"
09/2018;33-65973590-9;9333.82;"Comp. Usuario con discapacidad"
09/2018;33-70818048-9;40342.83;"Comp. Usuario con discapacidad"
08/2018;23-13418186-9;66302.61;"Comp. Usuario con discapacidad"
08/2018;30-53313348-3;283393.36;"Comp. Usuario con discapacidad"
08/2018;30-54408966-4;41837.64;"Comp. Usuario con discapacidad"
08/2018;30-54578922-8;167693.14;"Comp. Usuario con discapacidad"
08/2018;30-54622131-4;784545.73;"Comp. Usuario con discapacidad"
08/2018;30-54622179-9;297.51;"Comp. Usuario con discapacidad"
08/2018;30-54622766-5;1038040.09;"Comp. Usuario con discapacidad"
08/2018;30-54623424-6;159347.70;"Comp. Usuario con discapacidad"
08/2018;30-54624380-6;477217.62;"Comp. Usuario con discapacidad"
08/2018;30-54624762-3;676333.92;"Comp. Usuario con discapacidad"
08/2018;30-54625314-3;339368.83;"Comp. Usuario con discapacidad"
08/2018;30-54625840-4;527309.42;"Comp. Usuario con discapacidad"
08/2018;30-54626164-2;12480.69;"Comp. Usuario con discapacidad"
08/2018;30-54626201-0;114386.22;"Comp. Usuario con discapacidad"
08/2018;30-54633302-3;662470.50;"Comp. Usuario con discapacidad"
08/2018;30-54633760-6;244601.23;"Comp. Usuario con discapacidad"
08/2018;30-54633944-7;586191.23;"Comp. Usuario con discapacidad"
08/2018;30-54634367-3;112787.68;"Comp. Usuario con discapacidad"
08/2018;30-54635841-7;78042.91;"Comp. Usuario con discapacidad"
08/2018;30-54637090-5;116636.69;"Comp. Usuario con discapacidad"
08/2018;30-54639386-7;403318.98;"Comp. Usuario con discapacidad"
08/2018;30-54640151-7;220490.12;"Comp. Usuario con discapacidad"
08/2018;30-54641680-8;356465.96;"Comp. Usuario con discapacidad"
08/2018;30-54657368-7;40356.30;"Comp. Usuario con discapacidad"
08/2018;30-54662272-6;225104.31;"Comp. Usuario con discapacidad"
08/2018;30-55076210-9;246212.17;"Comp. Usuario con discapacidad"
08/2018;30-56178540-2;633706.31;"Comp. Usuario con discapacidad"
08/2018;30-56238208-5;252734.25;"Comp. Usuario con discapacidad"
08/2018;30-56354526-3;34849.02;"Comp. Usuario con discapacidad"
08/2018;30-56394131-2;12124.58;"Comp. Usuario con discapacidad"
08/2018;30-56468014-8;235652.89;"Comp. Usuario con discapacidad"
08/2018;30-56610811-5;7663.09;"Comp. Usuario con discapacidad"
08/2018;30-56932483-8;274043.26;"Comp. Usuario con discapacidad"
08/2018;30-57733887-2;1079622.48;"Comp. Usuario con discapacidad"
08/2018;30-58121405-3;544491.64;"Comp. Usuario con discapacidad"
08/2018;30-59033015-5;24197.32;"Comp. Usuario con discapacidad"
08/2018;30-60597072-5;364779.85;"Comp. Usuario con discapacidad"
08/2018;30-61035814-0;25525.97;"Comp. Usuario con discapacidad"
08/2018;30-61133884-4;3102523.08;"Comp. Usuario con discapacidad"
08/2018;30-61322839-6;362758.15;"Comp. Usuario con discapacidad"
08/2018;30-61580178-6;32075.09;"Comp. Usuario con discapacidad"
08/2018;30-62629625-0;231156.46;"Comp. Usuario con discapacidad"
08/2018;30-62730398-6;193733.55;"Comp. Usuario con discapacidad"
08/2018;30-62834410-4;19944.87;"Comp. Usuario con discapacidad"
08/2018;30-62944722-5;41505.76;"Comp. Usuario con discapacidad"
08/2018;30-63380097-5;551869.05;"Comp. Usuario con discapacidad"
08/2018;30-64392215-7;927099.43;"Comp. Usuario con discapacidad"
08/2018;30-64472067-1;309128.37;"Comp. Usuario con discapacidad"
08/2018;30-65108882-4;634867.04;"Comp. Usuario con discapacidad"
08/2018;30-65289644-4;331407.10;"Comp. Usuario con discapacidad"
08/2018;30-65829220-6;3639.97;"Comp. Usuario con discapacidad"
08/2018;30-66419466-6;49786.40;"Comp. Usuario con discapacidad"
08/2018;30-67437645-2;382266.34;"Comp. Usuario con discapacidad"
08/2018;30-67611410-2;485405.29;"Comp. Usuario con discapacidad"
08/2018;30-68784108-1;109521.85;"Comp. Usuario con discapacidad"
08/2018;30-68902450-1;264065.47;"Comp. Usuario con discapacidad"
08/2018;30-69444027-0;11430.40;"Comp. Usuario con discapacidad"
08/2018;30-70721568-9;1698528.32;"Comp. Usuario con discapacidad"
08/2018;30-70742374-5;9024.41;"Comp. Usuario con discapacidad"
08/2018;30-70743664-2;69439.97;"Comp. Usuario con discapacidad"
08/2018;30-70787028-8;18661.87;"Comp. Usuario con discapacidad"
08/2018;30-70939332-0;43053.59;"Comp. Usuario con discapacidad"
08/2018;30-71124418-9;35570.25;"Comp. Usuario con discapacidad"
08/2018;33-54641970-9;81762.32;"Comp. Usuario con discapacidad"
08/2018;33-54662883-9;310098.09;"Comp. Usuario con discapacidad"
08/2018;33-56802704-9;31337.52;"Comp. Usuario con discapacidad"
08/2018;33-60077099-9;217060.89;"Comp. Usuario con discapacidad"
08/2018;33-60274919-9;278071.46;"Comp. Usuario con discapacidad"
08/2018;33-64571375-9;72822.43;"Comp. Usuario con discapacidad"
08/2018;33-65973590-9;5255.98;"Comp. Usuario con discapacidad"
08/2018;33-70818048-9;45022.89;"Comp. Usuario con discapacidad"
07/2018;23-13418186-9;71982.69;"Comp. Usuario con discapacidad"
07/2018;30-53313348-3;277223.73;"Comp. Usuario con discapacidad"
07/2018;30-54408966-4;32746.03;"Comp. Usuario con discapacidad"
07/2018;30-54578922-8;171932.72;"Comp. Usuario con discapacidad"
07/2018;30-54622131-4;810494.69;"Comp. Usuario con discapacidad"
07/2018;30-54622179-9;275.66;"Comp. Usuario con discapacidad"
07/2018;30-54622766-5;1012476.84;"Comp. Usuario con discapacidad"
07/2018;30-54623424-6;159894.88;"Comp. Usuario con discapacidad"
07/2018;30-54624380-6;486110.01;"Comp. Usuario con discapacidad"
07/2018;30-54624762-3;687146.13;"Comp. Usuario con discapacidad"
07/2018;30-54625314-3;331735.19;"Comp. Usuario con discapacidad"
07/2018;30-54625840-4;558741.66;"Comp. Usuario con discapacidad"
07/2018;30-54626164-2;16908.42;"Comp. Usuario con discapacidad"
07/2018;30-54626201-0;109483.92;"Comp. Usuario con discapacidad"
07/2018;30-54633302-3;658894.78;"Comp. Usuario con discapacidad"
07/2018;30-54633760-6;248439.84;"Comp. Usuario con discapacidad"
07/2018;30-54633944-7;587233.17;"Comp. Usuario con discapacidad"
07/2018;30-54634367-3;105911.26;"Comp. Usuario con discapacidad"
07/2018;30-54635841-7;148797.33;"Comp. Usuario con discapacidad"
07/2018;30-54637090-5;113260.20;"Comp. Usuario con discapacidad"
07/2018;30-54639386-7;422375.82;"Comp. Usuario con discapacidad"
07/2018;30-54640151-7;229870.66;"Comp. Usuario con discapacidad"
07/2018;30-54641680-8;314464.96;"Comp. Usuario con discapacidad"
07/2018;30-54657368-7;38041.59;"Comp. Usuario con discapacidad"
07/2018;30-54662272-6;238371.85;"Comp. Usuario con discapacidad"
07/2018;30-55076210-9;268186.35;"Comp. Usuario con discapacidad"
07/2018;30-56178540-2;718307.10;"Comp. Usuario con discapacidad"
07/2018;30-56238208-5;199826.44;"Comp. Usuario con discapacidad"
07/2018;30-56354526-3;37482.96;"Comp. Usuario con discapacidad"
07/2018;30-56394131-2;12990.65;"Comp. Usuario con discapacidad"
07/2018;30-56468014-8;243226.77;"Comp. Usuario con discapacidad"
07/2018;30-56610811-5;8861.96;"Comp. Usuario con discapacidad"
07/2018;30-56932483-8;294664.16;"Comp. Usuario con discapacidad"
07/2018;30-57733887-2;1077809.14;"Comp. Usuario con discapacidad"
07/2018;30-58121405-3;522188.54;"Comp. Usuario con discapacidad"
07/2018;30-59033015-5;19480.24;"Comp. Usuario con discapacidad"
07/2018;30-60597072-5;345736.61;"Comp. Usuario con discapacidad"
07/2018;30-61035814-0;31881.45;"Comp. Usuario con discapacidad"
07/2018;30-61133884-4;2943408.30;"Comp. Usuario con discapacidad"
07/2018;30-61322839-6;389592.20;"Comp. Usuario con discapacidad"
07/2018;30-61580178-6;21182.25;"Comp. Usuario con discapacidad"
07/2018;30-62629625-0;290250.93;"Comp. Usuario con discapacidad"
07/2018;30-62730398-6;226196.18;"Comp. Usuario con discapacidad"
07/2018;30-62834410-4;17832.00;"Comp. Usuario con discapacidad"
07/2018;30-62944722-5;42721.61;"Comp. Usuario con discapacidad"
07/2018;30-63380097-5;588625.07;"Comp. Usuario con discapacidad"
07/2018;30-64392215-7;729616.10;"Comp. Usuario con discapacidad"
07/2018;30-64472067-1;307307.62;"Comp. Usuario con discapacidad"
07/2018;30-65108882-4;697438.10;"Comp. Usuario con discapacidad"
07/2018;30-65289644-4;330493.66;"Comp. Usuario con discapacidad"
07/2018;30-65829220-6;4999.54;"Comp. Usuario con discapacidad"
07/2018;30-66419466-6;58786.33;"Comp. Usuario con discapacidad"
07/2018;30-67437645-2;372954.75;"Comp. Usuario con discapacidad"
07/2018;30-67611410-2;421114.45;"Comp. Usuario con discapacidad"
07/2018;30-68784108-1;109585.73;"Comp. Usuario con discapacidad"
07/2018;30-68902450-1;230519.09;"Comp. Usuario con discapacidad"
07/2018;30-69444027-0;30800.72;"Comp. Usuario con discapacidad"
07/2018;30-70721568-9;1743494.75;"Comp. Usuario con discapacidad"
07/2018;30-70742374-5;8453.69;"Comp. Usuario con discapacidad"
07/2018;30-70743664-2;70144.93;"Comp. Usuario con discapacidad"
07/2018;30-70787028-8;19453.09;"Comp. Usuario con discapacidad"
07/2018;30-70939332-0;52851.73;"Comp. Usuario con discapacidad"
07/2018;30-71124418-9;28008.06;"Comp. Usuario con discapacidad"
07/2018;33-54641970-9;82135.26;"Comp. Usuario con discapacidad"
07/2018;33-54662883-9;315191.71;"Comp. Usuario con discapacidad"
07/2018;33-56802704-9;38317.26;"Comp. Usuario con discapacidad"
07/2018;33-60077099-9;227060.76;"Comp. Usuario con discapacidad"
07/2018;33-60274919-9;257001.60;"Comp. Usuario con discapacidad"
07/2018;33-64571375-9;66788.94;"Comp. Usuario con discapacidad"
07/2018;33-65973590-9;3767.40;"Comp. Usuario con discapacidad"
07/2018;33-70818048-9;44289.97;"Comp. Usuario con discapacidad"
06/2018;23-13418186-9;82146.27;"Comp. Usuario con discapacidad"
06/2018;30-53313348-3;291955.11;"Comp. Usuario con discapacidad"
06/2018;30-54408966-4;32420.83;"Comp. Usuario con discapacidad"
06/2018;30-54578922-8;178860.87;"Comp. Usuario con discapacidad"
06/2018;30-54622131-4;870846.03;"Comp. Usuario con discapacidad"
06/2018;30-54622179-9;324.30;"Comp. Usuario con discapacidad"
06/2018;30-54622766-5;1080049.26;"Comp. Usuario con discapacidad"
06/2018;30-54623424-6;105243.46;"Comp. Usuario con discapacidad"
06/2018;30-54624380-6;482886.96;"Comp. Usuario con discapacidad"
06/2018;30-54624762-3;663464.53;"Comp. Usuario con discapacidad"
06/2018;30-54625314-3;300384.46;"Comp. Usuario con discapacidad"
06/2018;30-54625840-4;500017.14;"Comp. Usuario con discapacidad"
06/2018;30-54626164-2;18518.29;"Comp. Usuario con discapacidad"
06/2018;30-54626201-0;113073.35;"Comp. Usuario con discapacidad"
06/2018;30-54633302-3;643010.27;"Comp. Usuario con discapacidad"
06/2018;30-54633760-6;230959.61;"Comp. Usuario con discapacidad"
06/2018;30-54633944-7;563173.41;"Comp. Usuario con discapacidad"
06/2018;30-54634367-3;116969.25;"Comp. Usuario con discapacidad"
06/2018;30-54635841-7;131809.07;"Comp. Usuario con discapacidad"
06/2018;30-54637090-5;107815.14;"Comp. Usuario con discapacidad"
06/2018;30-54639386-7;386463.48;"Comp. Usuario con discapacidad"
06/2018;30-54640151-7;214282.71;"Comp. Usuario con discapacidad"
06/2018;30-54641680-8;289302.35;"Comp. Usuario con discapacidad"
06/2018;30-54657368-7;31022.28;"Comp. Usuario con discapacidad"
06/2018;30-54662272-6;216337.84;"Comp. Usuario con discapacidad"
06/2018;30-55076210-9;279452.34;"Comp. Usuario con discapacidad"
06/2018;30-56178540-2;719827.08;"Comp. Usuario con discapacidad"
06/2018;30-56238208-5;204422.87;"Comp. Usuario con discapacidad"
06/2018;30-56354526-3;33090.92;"Comp. Usuario con discapacidad"
06/2018;30-56394131-2;7768.47;"Comp. Usuario con discapacidad"
06/2018;30-56468014-8;244694.47;"Comp. Usuario con discapacidad"
06/2018;30-56610811-5;7628.43;"Comp. Usuario con discapacidad"
06/2018;30-56932483-8;238785.81;"Comp. Usuario con discapacidad"
06/2018;30-57733887-2;1049712.43;"Comp. Usuario con discapacidad"
06/2018;30-58121405-3;544276.16;"Comp. Usuario con discapacidad"
06/2018;30-59033015-5;23025.33;"Comp. Usuario con discapacidad"
06/2018;30-60597072-5;321064.75;"Comp. Usuario con discapacidad"
06/2018;30-61035814-0;22758.15;"Comp. Usuario con discapacidad"
06/2018;30-61133884-4;3058709.08;"Comp. Usuario con discapacidad"
06/2018;30-61322839-6;444025.57;"Comp. Usuario con discapacidad"
06/2018;30-61580178-6;27970.91;"Comp. Usuario con discapacidad"
06/2018;30-62629625-0;307133.35;"Comp. Usuario con discapacidad"
06/2018;30-62730398-6;234790.41;"Comp. Usuario con discapacidad"
06/2018;30-62834410-4;17163.97;"Comp. Usuario con discapacidad"
06/2018;30-62944722-5;33304.67;"Comp. Usuario con discapacidad"
06/2018;30-63380097-5;658138.15;"Comp. Usuario con discapacidad"
06/2018;30-64392215-7;615829.84;"Comp. Usuario con discapacidad"
06/2018;30-64472067-1;319281.10;"Comp. Usuario con discapacidad"
06/2018;30-65108882-4;693395.37;"Comp. Usuario con discapacidad"
06/2018;30-65289644-4;314151.26;"Comp. Usuario con discapacidad"
06/2018;30-65829220-6;2524.38;"Comp. Usuario con discapacidad"
06/2018;30-66419466-6;52051.44;"Comp. Usuario con discapacidad"
06/2018;30-67437645-2;347177.69;"Comp. Usuario con discapacidad"
06/2018;30-67611410-2;453221.46;"Comp. Usuario con discapacidad"
06/2018;30-68784108-1;122054.87;"Comp. Usuario con discapacidad"
06/2018;30-68902450-1;231649.97;"Comp. Usuario con discapacidad"
06/2018;30-69444027-0;17761.59;"Comp. Usuario con discapacidad"
06/2018;30-70721568-9;1805092.78;"Comp. Usuario con discapacidad"
06/2018;30-70742374-5;7000.71;"Comp. Usuario con discapacidad"
06/2018;30-70743664-2;64511.21;"Comp. Usuario con discapacidad"
06/2018;30-70787028-8;16019.70;"Comp. Usuario con discapacidad"
06/2018;30-70939332-0;51050.90;"Comp. Usuario con discapacidad"
06/2018;30-71124418-9;23909.78;"Comp. Usuario con discapacidad"
06/2018;33-54641970-9;77174.28;"Comp. Usuario con discapacidad"
06/2018;33-54662883-9;290614.30;"Comp. Usuario con discapacidad"
06/2018;33-56802704-9;39240.35;"Comp. Usuario con discapacidad"
06/2018;33-60077099-9;199915.83;"Comp. Usuario con discapacidad"
06/2018;33-60274919-9;240728.54;"Comp. Usuario con discapacidad"
06/2018;33-64571375-9;64676.43;"Comp. Usuario con discapacidad"
06/2018;33-65973590-9;756.70;"Comp. Usuario con discapacidad"
06/2018;33-70818048-9;33294.84;"Comp. Usuario con discapacidad"
05/2018;23-13418186-9;66644.52;"Comp. Usuario con discapacidad"
05/2018;30-53313348-3;275017.31;"Comp. Usuario con discapacidad"
05/2018;30-54408966-4;20760.33;"Comp. Usuario con discapacidad"
05/2018;30-54578922-8;176362.25;"Comp. Usuario con discapacidad"
05/2018;30-54622131-4;841014.14;"Comp. Usuario con discapacidad"
05/2018;30-54622766-5;1083028.20;"Comp. Usuario con discapacidad"
05/2018;30-54623424-6;107927.21;"Comp. Usuario con discapacidad"
05/2018;30-54624380-6;462262.03;"Comp. Usuario con discapacidad"
05/2018;30-54624762-3;667937.72;"Comp. Usuario con discapacidad"
05/2018;30-54625314-3;344156.09;"Comp. Usuario con discapacidad"
05/2018;30-54625840-4;532531.78;"Comp. Usuario con discapacidad"
05/2018;30-54626164-2;11019.59;"Comp. Usuario con discapacidad"
05/2018;30-54626201-0;115126.66;"Comp. Usuario con discapacidad"
05/2018;30-54633302-3;629141.35;"Comp. Usuario con discapacidad"
05/2018;30-54633760-6;255149.40;"Comp. Usuario con discapacidad"
05/2018;30-54633944-7;595374.86;"Comp. Usuario con discapacidad"
05/2018;30-54634367-3;111425.51;"Comp. Usuario con discapacidad"
05/2018;30-54635841-7;165850.34;"Comp. Usuario con discapacidad"
05/2018;30-54637090-5;111660.09;"Comp. Usuario con discapacidad"
05/2018;30-54639386-7;400341.41;"Comp. Usuario con discapacidad"
05/2018;30-54640151-7;226234.87;"Comp. Usuario con discapacidad"
05/2018;30-54641680-8;308039.27;"Comp. Usuario con discapacidad"
05/2018;30-54657368-7;33779.52;"Comp. Usuario con discapacidad"
05/2018;30-54662272-6;203288.52;"Comp. Usuario con discapacidad"
05/2018;30-55076210-9;292548.49;"Comp. Usuario con discapacidad"
05/2018;30-56178540-2;730485.02;"Comp. Usuario con discapacidad"
05/2018;30-56238208-5;218845.60;"Comp. Usuario con discapacidad"
05/2018;30-56354526-3;33829.39;"Comp. Usuario con discapacidad"
05/2018;30-56394131-2;11019.59;"Comp. Usuario con discapacidad"
05/2018;30-56468014-8;233555.01;"Comp. Usuario con discapacidad"
05/2018;30-56610811-5;6263.40;"Comp. Usuario con discapacidad"
05/2018;30-56932483-8;254851.36;"Comp. Usuario con discapacidad"
05/2018;30-57733887-2;1099011.94;"Comp. Usuario con discapacidad"
05/2018;30-57945598-1;2580.38;"Comp. Usuario con discapacidad"
05/2018;30-58121405-3;511084.14;"Comp. Usuario con discapacidad"
05/2018;30-59033015-5;22238.64;"Comp. Usuario con discapacidad"
05/2018;30-60597072-5;342722.55;"Comp. Usuario con discapacidad"
05/2018;30-61035814-0;20525.75;"Comp. Usuario con discapacidad"
05/2018;30-61133884-4;2989552.96;"Comp. Usuario con discapacidad"
05/2018;30-61322839-6;445224.38;"Comp. Usuario con discapacidad"
05/2018;30-61580178-6;34131.39;"Comp. Usuario con discapacidad"
05/2018;30-62629625-0;270400.50;"Comp. Usuario con discapacidad"
05/2018;30-62730398-6;238098.72;"Comp. Usuario con discapacidad"
05/2018;30-62834410-4;19352.85;"Comp. Usuario con discapacidad"
05/2018;30-62944722-5;44863.71;"Comp. Usuario con discapacidad"
05/2018;30-63380097-5;646363.72;"Comp. Usuario con discapacidad"
05/2018;30-64392215-7;612172.83;"Comp. Usuario con discapacidad"
05/2018;30-64472067-1;293305.49;"Comp. Usuario con discapacidad"
05/2018;30-65108882-4;619532.64;"Comp. Usuario con discapacidad"
05/2018;30-65289644-4;327164.34;"Comp. Usuario con discapacidad"
05/2018;30-65829220-6;3191.19;"Comp. Usuario con discapacidad"
05/2018;30-66419466-6;51003.59;"Comp. Usuario con discapacidad"
05/2018;30-67437645-2;367600.49;"Comp. Usuario con discapacidad"
05/2018;30-67611410-2;438369.43;"Comp. Usuario con discapacidad"
05/2018;30-68784108-1;110839.06;"Comp. Usuario con discapacidad"
05/2018;30-68902450-1;232234.22;"Comp. Usuario con discapacidad"
05/2018;30-69444027-0;29557.08;"Comp. Usuario con discapacidad"
05/2018;30-70721568-9;1794296.36;"Comp. Usuario con discapacidad"
05/2018;30-70742374-5;10998.06;"Comp. Usuario con discapacidad"
05/2018;30-70743664-2;1172.90;"Comp. Usuario con discapacidad"
05/2018;30-70787028-8;15482.28;"Comp. Usuario con discapacidad"
05/2018;30-70939332-0;47863.96;"Comp. Usuario con discapacidad"
05/2018;30-71124418-9;21277.65;"Comp. Usuario con discapacidad"
05/2018;33-54641970-9;78584.31;"Comp. Usuario con discapacidad"
05/2018;33-54662883-9;334506.01;"Comp. Usuario con discapacidad"
05/2018;33-56802704-9;40887.18;"Comp. Usuario con discapacidad"
05/2018;33-60077099-9;194525.77;"Comp. Usuario con discapacidad"
05/2018;33-60274919-9;227104.06;"Comp. Usuario con discapacidad"
05/2018;33-64571375-9;62996.63;"Comp. Usuario con discapacidad"
05/2018;33-65973590-9;398.90;"Comp. Usuario con discapacidad"
05/2018;33-70818048-9;38493.79;"Comp. Usuario con discapacidad"
04/2018;23-13418186-9;68518.27;"Comp. Usuario con discapacidad"
04/2018;30-53313348-3;263901.63;"Comp. Usuario con discapacidad"
04/2018;30-54408966-4;25761.62;"Comp. Usuario con discapacidad"
04/2018;30-54578922-8;158983.87;"Comp. Usuario con discapacidad"
04/2018;30-54622131-4;811002.28;"Comp. Usuario con discapacidad"
04/2018;30-54622766-5;1048966.27;"Comp. Usuario con discapacidad"
04/2018;30-54623424-6;104174.97;"Comp. Usuario con discapacidad"
04/2018;30-54624380-6;439397.29;"Comp. Usuario con discapacidad"
04/2018;30-54624762-3;663630.04;"Comp. Usuario con discapacidad"
04/2018;30-54625314-3;364280.81;"Comp. Usuario con discapacidad"
04/2018;30-54625840-4;579021.54;"Comp. Usuario con discapacidad"
04/2018;30-54626164-2;13026.01;"Comp. Usuario con discapacidad"
04/2018;30-54626201-0;106308.04;"Comp. Usuario con discapacidad"
04/2018;30-54633302-3;642424.94;"Comp. Usuario con discapacidad"
04/2018;30-54633760-6;247430.20;"Comp. Usuario con discapacidad"
04/2018;30-54633944-7;593554.43;"Comp. Usuario con discapacidad"
